iter	MAE	RMSE
0	0.6906525701	0.8524696594
5	0.689873871	0.8517729603
10	0.6890764486	0.8510738175
15	0.6883544104	0.8504519762
20	0.6875545351	0.8497778695
25	0.6864914687	0.8488654977
30	0.6858350443	0.8483365423
35	0.6852475452	0.8478771242
40	0.6845274693	0.8472886417
45	0.683699795	0.8466542186
50	0.6828019282	0.8459584324
55	0.682241574	0.8455384328
60	0.681049651	0.8446024596
65	0.6801999827	0.8439698923
70	0.6788147749	0.8429013828
75	0.6780220538	0.8423197618
80	0.677499964	0.8419341219
85	0.6770623751	0.8416177692
90	0.6756084874	0.8405350833
95	0.6745263705	0.8397458736
100	0.6731300022	0.8387400274
105	0.671475512	0.8376040355
110	0.6706164412	0.8370127749
115	0.6696772847	0.8363381497
120	0.6687662542	0.8357051971
125	0.668061059	0.8351916956
130	0.6671049779	0.8345195663
135	0.6661256355	0.8338361092
140	0.665287373	0.8332612109
145	0.6641158496	0.832459556
150	0.6628636681	0.8316248816
155	0.6623539244	0.8312562144
160	0.6610243555	0.8303919247
165	0.6601109131	0.8298075953
170	0.6586261604	0.8288496167
175	0.6580862466	0.8284666875
180	0.6572969594	0.8279614356
185	0.6560620706	0.8271946765
190	0.6549875166	0.8265276921
195	0.6542895573	0.826091801
200	0.6537593732	0.8257512844
205	0.6530216368	0.8252926185
210	0.651827588	0.824607116
215	0.6512102049	0.8242134366
220	0.6504212039	0.8237326985
225	0.6500585496	0.8234677372
230	0.6494419024	0.8230983219
235	0.6486504485	0.8226506999
240	0.6480940597	0.8223204661
245	0.6470446066	0.8216875118
250	0.6463623047	0.8212458908
255	0.6458375986	0.8209149424
260	0.6448680267	0.8203465122
265	0.6437967023	0.8197694346
270	0.6427842464	0.8191824687
275	0.6418244451	0.8186231978
280	0.640992233	0.8181484688
285	0.6398311342	0.8175002077
290	0.6390687057	0.8170911716
295	0.638468002	0.8167640956
300	0.6375917203	0.8163262713
305	0.636835792	0.8158701237
310	0.6360264732	0.8154420717
315	0.6350128317	0.8149122653
320	0.6345564784	0.81464436
325	0.6339411394	0.8143015665
330	0.6334916132	0.814035921
335	0.6329640045	0.8137251757
340	0.6323601939	0.8134107182
345	0.6316975557	0.8130049295
350	0.6311911234	0.8127165266
355	0.6308187394	0.8124946414
360	0.6301166511	0.8121265522
365	0.6294492299	0.8117491052
370	0.6289041651	0.8114246117
375	0.628561011	0.8112162066
380	0.6281273057	0.8109180932
385	0.6275205516	0.8105606361
390	0.6268779042	0.8101992874
395	0.6263486194	0.809880836
400	0.6259755814	0.8096106598
405	0.6255928954	0.8093779982
410	0.6251416114	0.8090858266
415	0.6246452357	0.808757535
420	0.6243384247	0.8085454088
425	0.6238382471	0.808257286
430	0.6235478702	0.8080722973
435	0.6231225455	0.8078096893
440	0.6227197053	0.8076019459
445	0.622302843	0.8073580214
450	0.6219155784	0.8071052607
455	0.6215728331	0.806885683
460	0.6211979962	0.8066598121
465	0.6208571723	0.8064514683
470	0.6204220771	0.8062101621
475	0.6200826432	0.8059888697
480	0.6197633226	0.8057509005
485	0.6194939585	0.8055569627
490	0.6191928708	0.8053912769
495	0.6188740408	0.8051756491
500	0.6186737653	0.8050190257
505	0.6183803224	0.8048575973
510	0.6180341839	0.8046408611
515	0.6177846062	0.8044452328
520	0.6174491785	0.8042747941
525	0.617226623	0.8041210965
530	0.6171077414	0.8040262503
535	0.6168666668	0.8038475096
540	0.6166683128	0.8037251141
545	0.6163820649	0.8035562015
550	0.6160737004	0.8033706137
555	0.6158378586	0.8032071744
560	0.6155664913	0.8030482327
565	0.6154094269	0.8029083022
570	0.6152218655	0.8027622873
575	0.6149825079	0.8025920516
580	0.614798503	0.8024610842
585	0.6145945483	0.8022909884
590	0.6143779205	0.8021423639
595	0.6141637047	0.8019842815
600	0.613954272	0.8018505893
605	0.6137434492	0.8017219995
610	0.6135363876	0.80155853
615	0.6134208582	0.8014762345
620	0.6132292495	0.8013666895
625	0.6130911539	0.8012801907
630	0.6129028974	0.8011669705
635	0.6127302166	0.8010650128
640	0.6125428186	0.8009611535
645	0.6123746347	0.8008284646
650	0.6121822901	0.8006980768
655	0.6120256346	0.8005701699
660	0.6119067939	0.8004699236
665	0.6117723775	0.8003560525
670	0.61160681	0.8002451537
675	0.6114084968	0.8001276996
680	0.6112888794	0.800005757
685	0.6111230665	0.7999057211
690	0.6108996934	0.7997661354
695	0.6107685475	0.799652573
700	0.6106382192	0.799536259
705	0.6105173754	0.7994296699
710	0.6103704903	0.7993247032
715	0.6102868481	0.7992402083
720	0.6101501424	0.7991384652
725	0.6099944271	0.7990125343
730	0.6098833538	0.7989243734
735	0.6097426009	0.7988392477
740	0.6096470623	0.798748611
745	0.609534926	0.7986540226
750	0.6094174752	0.7985532286
755	0.6093321568	0.7984744121
760	0.6091634823	0.7983078196
765	0.6090818841	0.7982333576
770	0.6089997135	0.7981743055
775	0.6088706526	0.7980872301
780	0.6087904443	0.7979951761
785	0.6087137517	0.7979085679
790	0.6086401253	0.7978448034
795	0.6085297469	0.7977361177
800	0.608399623	0.7976643443
805	0.6082774301	0.7975551984
810	0.6081501679	0.7974350925
815	0.6080505412	0.7973610361
820	0.6079375056	0.7972790764
825	0.6078174793	0.7971913392
830	0.6077215319	0.7970900269
835	0.6076182668	0.7970179132
840	0.6075432503	0.7969263511
845	0.6074037239	0.7968310591
850	0.6073016443	0.7967403478
855	0.6072084768	0.7966586065
860	0.6071098312	0.7965811421
865	0.6070571767	0.7965220445
870	0.6069564462	0.7964511369
875	0.6068754611	0.7963850997
880	0.6067587462	0.796280168
885	0.6067189691	0.7962381195
890	0.6066702391	0.7961835149
895	0.6065935875	0.7960951948
900	0.6065109263	0.7960208083
905	0.6064507905	0.79596416
910	0.6063456858	0.795895848
915	0.6062366565	0.7958230867
920	0.6061320423	0.7956757459
925	0.6060195381	0.795589322
930	0.6059421097	0.795503711
935	0.605840439	0.7953997424
940	0.605717919	0.7952583376
945	0.6056607675	0.7951915844
950	0.6056014493	0.7951049794
955	0.6055502256	0.7950701445
960	0.605496222	0.7950194447
965	0.6054492089	0.7949481974
970	0.6054008469	0.794890727
975	0.6053295915	0.7947861381
980	0.6052383454	0.7946830787
985	0.6051706057	0.7946240971
990	0.6050924415	0.7945465373
995	0.6050259283	0.7944771257
1000	0.6049658334	0.7943924498
1005	0.6049361539	0.7943496839
1010	0.6048518166	0.7942797919
1015	0.6048028822	0.7942087613
1020	0.6047058719	0.794112062
1025	0.6046483116	0.7940460877
1030	0.6045826569	0.7939698101
1035	0.6044808635	0.7938524317
1040	0.6044084226	0.7937866933
1045	0.6043637807	0.7937304006
1050	0.6043054028	0.7936262254
1055	0.6041770777	0.7935121708
1060	0.6041294923	0.7934414322
1065	0.6040639194	0.7933481691
1070	0.6039788054	0.7932684231
1075	0.6038849838	0.7931764798
1080	0.6037926339	0.7930855568
1085	0.6037066614	0.7930108365
1090	0.6036106322	0.7928930841
1095	0.6035693016	0.7928494639
1100	0.6035146847	0.7927803679
1105	0.603419187	0.7926729734
1110	0.6033486266	0.7926124497
1115	0.6033011639	0.7925466084
1120	0.6032487955	0.7925033044
1125	0.6032090184	0.7924721467
1130	0.6031515399	0.7924329658
1135	0.6031188352	0.7923939377
1140	0.6030981086	0.7923493355
1145	0.6030229286	0.7922763775
1150	0.6029608714	0.7921999811
1155	0.6029114873	0.7921579741
1160	0.6028211815	0.792076147
1165	0.6027689357	0.7920182101
1170	0.6026939602	0.7919640888
1175	0.6026421641	0.7918844357
1180	0.6025595438	0.7918202893
1185	0.6025008389	0.7917640375
1190	0.6024754518	0.791735355
1195	0.6024043191	0.7916849323
1200	0.6023470859	0.7916296263
1205	0.6023030572	0.7915723281
1210	0.6022590693	0.7915283252
1215	0.6022250156	0.7914962511
1220	0.6021550275	0.7914510043
