iter	Passed	Remaining
0	50	100046
1	89	89241
2	127	84623
3	167	83623
4	208	83230
5	251	83681
6	290	82761
7	327	81608
8	368	81448
9	411	81932
10	447	80898
11	485	80404
12	527	80553
13	566	80336
14	612	81034
15	652	80942
16	691	80714
17	732	80607
18	771	80463
19	816	80854
20	853	80469
21	891	80123
22	928	79793
23	971	79982
24	1021	80709
25	1059	80432
26	1097	80235
27	1136	80019
28	1176	79945
29	1213	79686
30	1253	79618
31	1292	79488
32	1332	79453
33	1372	79376
34	1412	79292
35	1452	79219
36	1489	79044
37	1530	79037
38	1568	78870
39	1606	78709
40	1646	78676
41	1684	78518
42	1726	78575
43	1761	78306
44	1808	78549
45	1853	78740
46	1890	78562
47	1929	78453
48	1970	78442
49	2012	78477
50	2050	78350
51	2085	78121
52	2121	77947
53	2156	77725
54	2191	77512
55	2228	77354
56	2261	77084
57	2297	76924
58	2340	76998
59	2378	76893
60	2412	76671
61	2449	76555
62	2491	76606
63	2541	76867
64	2577	76743
65	2618	76740
66	2667	76966
67	2712	77053
68	2748	76905
69	2783	76751
70	2831	76938
71	2869	76839
72	2918	77030
73	2954	76888
74	2997	76935
75	3039	76936
76	3085	77044
77	3136	77294
78	3174	77200
79	3219	77266
80	3259	77217
81	3296	77098
82	3333	77000
83	3377	77033
84	3417	76994
85	3455	76907
86	3507	77121
87	3555	77255
88	3594	77181
89	3629	77030
90	3676	77132
91	3720	77156
92	3765	77222
93	3799	77043
94	3833	76862
95	3866	76688
96	3908	76688
97	3954	76741
98	3991	76652
99	4035	76667
100	4079	76705
101	4126	76777
102	4169	76794
103	4212	76793
104	4263	76941
105	4307	76963
106	4353	77020
107	4403	77148
108	4451	77221
109	4490	77162
110	4530	77097
111	4584	77277
112	4629	77300
113	4669	77247
114	4702	77085
115	4736	76931
116	4772	76810
117	4812	76748
118	4843	76556
119	4882	76499
120	4915	76338
121	4947	76164
122	4982	76027
123	5024	76019
124	5057	75863
125	5093	75752
126	5133	75713
127	5171	75635
128	5206	75520
129	5248	75491
130	5283	75379
131	5319	75280
132	5368	75362
133	5413	75385
134	5452	75322
135	5489	75234
136	5527	75170
137	5574	75221
138	5614	75174
139	5648	75045
140	5684	74941
141	5719	74833
142	5754	74723
143	5795	74692
144	5837	74673
145	5884	74731
146	5926	74705
147	5967	74673
148	6005	74603
149	6047	74588
150	6089	74562
151	6126	74484
152	6164	74417
153	6202	74353
154	6241	74288
155	6285	74303
156	6337	74400
157	6376	74337
158	6411	74232
159	6453	74213
160	6494	74187
161	6534	74140
162	6570	74046
163	6616	74072
164	6653	73996
165	6695	73968
166	6739	73972
167	6780	73935
168	6819	73879
169	6859	73838
170	6901	73816
171	6935	73704
172	6968	73593
173	7007	73538
174	7051	73532
175	7090	73485
176	7124	73378
177	7164	73337
178	7200	73251
179	7232	73133
180	7275	73117
181	7316	73089
182	7354	73023
183	7388	72919
184	7426	72862
185	7468	72839
186	7505	72770
187	7550	72771
188	7589	72727
189	7636	72750
190	7681	72753
191	7723	72728
192	7760	72657
193	7799	72609
194	7836	72537
195	7878	72516
196	7913	72424
197	7954	72393
198	7989	72307
199	8024	72220
200	8060	72139
201	8097	72076
202	8140	72060
203	8183	72047
204	8222	71999
205	8264	71970
206	8308	71963
207	8342	71870
208	8383	71841
209	8425	71819
210	8469	71807
211	8506	71746
212	8548	71716
213	8584	71644
214	8623	71595
215	8666	71580
216	8701	71495
217	8736	71414
218	8775	71367
219	8812	71304
220	8853	71267
221	8887	71177
222	8923	71110
223	8959	71034
224	8994	70953
225	9030	70887
226	9070	70847
227	9105	70766
228	9147	70743
229	9190	70723
230	9231	70696
231	9269	70643
232	9303	70552
233	9343	70516
234	9379	70443
235	9420	70411
236	9459	70364
237	9494	70289
238	9542	70311
239	9582	70270
240	9618	70202
241	9655	70141
242	9689	70062
243	9727	70008
244	9770	69986
245	9813	69970
246	9847	69887
247	9880	69801
248	9920	69762
249	9958	69711
250	9998	69673
251	10036	69619
252	10071	69543
253	10105	69466
254	10147	69442
255	10182	69369
256	10225	69347
257	10267	69326
258	10310	69309
259	10349	69263
260	10387	69207
261	10424	69153
262	10467	69131
263	10506	69090
264	10551	69081
265	10590	69039
266	10636	69034
267	10679	69016
268	10720	68987
269	10764	68970
270	10805	68937
271	10841	68874
272	10884	68856
273	10921	68800
274	10960	68750
275	11000	68712
276	11039	68669
277	11083	68655
278	11118	68584
279	11154	68522
280	11203	68534
281	11247	68523
282	11292	68510
283	11335	68492
284	11383	68498
285	11430	68503
286	11469	68458
287	11516	68460
288	11564	68465
289	11609	68456
290	11654	68448
291	11702	68450
292	11741	68405
293	11787	68398
294	11828	68363
295	11877	68374
296	11921	68359
297	11959	68306
298	11998	68261
299	12038	68217
300	12078	68175
301	12117	68132
302	12156	68083
303	12191	68015
304	12239	68020
305	12280	67982
306	12323	67960
307	12357	67884
308	12391	67813
309	12428	67755
310	12465	67696
311	12501	67636
312	12541	67593
313	12590	67602
314	12633	67578
315	12670	67522
316	12708	67469
317	12746	67417
318	12789	67393
319	12823	67323
320	12859	67263
321	12897	67209
322	12934	67157
323	12976	67124
324	13012	67065
325	13056	67043
326	13092	66984
327	13132	66945
328	13172	66901
329	13215	66879
330	13251	66817
331	13287	66755
332	13332	66741
333	13369	66686
334	13403	66619
335	13444	66584
336	13481	66526
337	13513	66450
338	13548	66382
339	13601	66405
340	13643	66379
341	13683	66336
342	13720	66282
343	13756	66220
344	13793	66166
345	13833	66126
346	13867	66059
347	13904	66006
348	13947	65980
349	13992	65964
350	14036	65943
351	14073	65888
352	14116	65861
353	14157	65826
354	14202	65812
355	14242	65771
356	14281	65725
357	14319	65676
358	14354	65613
359	14390	65556
360	14428	65506
361	14467	65461
362	14507	65421
363	14547	65384
364	14591	65362
365	14632	65325
366	14678	65313
367	14719	65277
368	14760	65243
369	14795	65181
370	14841	65164
371	14880	65120
372	14914	65057
373	14949	64995
374	14988	64949
